session_swing,max_rfx,min_rfx,max_rfy,min_rfy,max_rfz,min_rfz,max_lfx,min_lfx,max_lfy,min_lfy,max_lfz,min_lfz,range_rfx,range_rfy,range_rfz,range_lfx,range_lfy,range_lfz
179_2,297.8261,-98.4413,239.352,-113.0085,938.6758,-6.3152,200.2705,-767.3493,215.2839,-401.8213,1953.0687,-0.0806,396.2674,352.3605,944.991,967.6197999999999,617.1052,1953.1493
179_3,288.745,-77.2989,203.8786,-89.1657,915.3668,-10.5226,196.9064,-652.9688,229.6422,-357.562,1899.0065,0.0554,366.0439,293.0443,925.8894,849.8752,587.2042,1898.9511
179_4,311.3796,-85.0896,215.0179,-128.4687,939.6193,-21.0905,239.2575,-699.0711,272.9109,-392.0656,1891.1558,0.8778,396.4692,343.4866,960.7098,938.3286,664.9765,1890.278
179_5,311.7486,-79.688,228.9395,-106.4605,948.6988,-1.9376,239.963,-876.3288,241.265,-336.2293,1985.6211,-0.8015,391.4366,335.4,950.6364,1116.2918,577.4943000000001,1986.4226
179_6,302.4419,-74.2369,239.3044,-59.9185,919.3097,-11.2878,206.2949,-700.9141,213.9372,-407.3978,1876.4572,2.1718,376.67879999999997,299.2229,930.5975,907.209,621.335,1874.2854
179_7,307.1624,-74.2938,195.9072,-125.6393,942.8229,-30.0881,218.8387,-757.959,253.2302,-372.267,1955.303,-0.6714,381.45619999999997,321.5465,972.9110000000001,976.7977,625.4972,1955.9744
17_1,204.9501,-105.5229,166.8551,-111.5758,811.321,95.0176,174.2041,-870.4759,213.203,-263.7888,1618.0803,-14.0275,310.473,278.4309,716.3034,1044.68,476.9918,1632.1078
17_2,255.0085,-86.3073,189.168,-109.4985,807.7784,127.6994,100.201,-710.0067,224.682,-310.061,1340.6261,-15.7417,341.31579999999997,298.66650000000004,680.0790000000001,810.2077,534.7429999999999,1356.3678
17_3,389.5605,-120.1102,170.397,-94.4622,935.6238,88.6611,231.3999,-954.3027,206.0039,-271.3912,1571.2165,-7.4585,509.6707,264.8592,846.9626999999999,1185.7026,477.3951,1578.675
17_4,380.3994,-70.1186,206.7463,-100.4233,897.0053,107.6533,131.7763,-842.5639,173.4915,-339.9004,1601.4386,-20.8052,450.51800000000003,307.1696,789.3520000000001,974.3402,513.3919,1622.2438
17_5,215.5256,-40.5983,216.0464,-95.4856,820.2854,143.7167,164.4674,-857.2771,154.9868,-324.8169,1564.3318,-15.0976,256.1239,311.53200000000004,676.5687,1021.7445,479.80369999999994,1579.4294
180_1,288.9608,-136.3955,216.1836,-26.7052,907.8837,69.1743,180.1442,-755.0045,127.1866,-358.5129,1528.977,-5.52,425.35630000000003,242.8888,838.7094,935.1487,485.6995,1534.497
180_2,209.4872,-180.812,224.3463,-76.657,782.2514,81.6358,137.8092,-646.2824,128.4601,-381.5233,1491.8963,-5.0246,390.29920000000004,301.0033,700.6156,784.0916000000001,509.9834,1496.9209
180_3,215.9612,-175.2493,196.1307,-40.9527,774.4236,21.4641,43.2622,-717.5019,107.0016,-346.338,1392.4084,-4.8734,391.2105,237.08339999999998,752.9594999999999,760.7641,453.3396,1397.2818
180_4,280.3506,-180.0246,207.8995,-36.1785,821.5147,45.5324,126.5549,-775.6158,181.3112,-328.3653,1568.7385,-4.0478,460.37519999999995,244.07799999999997,775.9822999999999,902.1707,509.67650000000003,1572.7863
180_5,336.8279,-162.4608,161.6763,-32.482,973.8272,11.544,91.7611,-757.1918,131.122,-344.9523,1592.2602,-7.0705,499.2887,194.1583,962.2832,848.9529,476.0743,1599.3307
180_6,241.7534,-171.9947,203.5174,-60.8892,766.9144,77.4843,170.8528,-729.4857,173.9441,-350.6523,1337.6394,-6.2516,413.7481,264.4066,689.4301,900.3385,524.5964,1343.891
180_7,356.629,-105.9673,189.6107,-72.6431,781.0741,131.8802,161.7,-739.1003,140.9406,-388.7492,1302.0985,-6.3039,462.59630000000004,262.2538,649.1939,900.8002999999999,529.6898,1308.4024000000002
181_1,207.3784,-115.5238,150.5935,-49.6596,685.8919,15.6962,138.5002,-594.2441,122.8366,-290.7577,1363.0897,-14.4104,322.9022,200.25310000000002,670.1957,732.7443000000001,413.5943,1377.5001
181_2,216.5225,-107.7813,171.8188,-85.7485,674.1688,14.1202,101.5642,-598.3356,150.5429,-275.7662,1405.1324,-4.3819,324.3038,257.56730000000005,660.0486000000001,699.8998,426.30910000000006,1409.5143
181_3,215.9328,-111.0222,179.199,-54.1434,680.9329,0.791,101.9432,-592.3173,119.0927,-289.3416,1408.5748,-9.3326,326.955,233.3424,680.1419,694.2605000000001,408.4343,1417.9074
181_4,216.6699,-87.6232,168.0599,-51.1731,753.3835,8.8198,113.8202,-578.0723,117.6559,-254.9985,1380.1761,-8.5656,304.2931,219.233,744.5637,691.8925,372.6544,1388.7416999999998
181_5,210.6279,-81.9447,166.6384,-61.1377,755.6745,5.3925,86.8386,-579.4021,127.6601,-277.138,1420.0989,-7.5396,292.5726,227.77609999999999,750.2819999999999,666.2407000000001,404.7981,1427.6385
181_6,213.5149,-98.1128,128.1455,-41.6444,787.556,18.879,119.7401,-520.3927,112.587,-230.0045,1261.2935,-6.6941,311.6277,169.7899,768.677,640.1328,342.5915,1267.9876
181_7,207.5099,-101.3413,171.9995,-42.449,765.3756,4.5638,136.3296,-638.6588,117.6745,-284.6997,1452.0021,-15.3934,308.8512,214.44850000000002,760.8118,774.9884000000001,402.3742,1467.3954999999999
181_8,222.45,-32.2261,89.3576,-22.9999,757.3848,439.4135,133.4765,-695.8752,128.4627,-328.7155,1616.6511,-19.5016,254.6761,112.3575,317.97130000000004,829.3516999999999,457.17820000000006,1636.1527
185_1,216.8368,-139.6984,179.9094,-121.2934,818.8328,2.2793,120.1895,-679.8596,175.7433,-403.7604,1664.5943,-9.8535,356.53520000000003,301.2028,816.5535,800.0491,579.5037,1674.4478
185_2,199.3207,-88.9832,188.4939,-98.3533,780.5037,139.1,66.5324,-638.5756,137.8087,-352.8407,1323.1692,-2.2025,288.3039,286.8472,641.4037,705.108,490.6494,1325.3717000000001
185_3,229.6031,-123.7204,182.1047,-65.1728,834.8627,-1.1301,64.689,-796.3459,145.3376,-404.6299,1657.988,-18.9697,353.3235,247.2775,835.9928,861.0349,549.9675,1676.9577000000002
185_4,240.6788,-148.2537,191.5479,-151.4741,794.0163,32.5704,143.4903,-767.3577,123.37,-435.259,1590.8706,-21.5357,388.9325,343.022,761.4459,910.848,558.629,1612.4062999999999
185_5,257.2876,-113.9368,189.3009,-120.3244,824.3705,44.7176,136.114,-742.7629,220.6791,-437.8563,1563.5166,-19.6041,371.2244,309.62530000000004,779.6529,878.8769,658.5354,1583.1207
185_6,242.6653,-142.5217,184.5855,-131.5657,848.5608,16.7296,102.1754,-747.8147,247.4063,-427.6404,1663.2398,-23.7308,385.187,316.1512,831.8312,849.9901,675.0467,1686.9706
190_1,208.0597,-168.584,262.6768,-99.4651,982.891,15.9654,0.3618,-493.6936,179.6394,-339.6598,1690.8827000000001,-0.4327,376.64369999999997,362.1419,966.9255999999999,494.0554,519.2992,1691.3154000000002
