session_swing,range_lead_hip_x,range_lead_hip_y,range_lead_hip_z,range_lead_shoulder_x,range_lead_shoulder_y,range_lead_shoulder_z,range_pelvis_x,range_pelvis_y,range_pelvis_z,range_rear_hip_x,range_rear_hip_y,range_rear_hip_z,range_rear_shoulder_x,range_rear_shoulder_y,range_rear_shoulder_z,range_torso_x,range_torso_y,range_torso_z,range_torso_pelvis_x,range_torso_pelvis_y,range_torso_pelvis_z,max_lead_hip_y,max_lead_hip_z,max_lead_shoulder_x,max_lead_shoulder_y,max_lead_shoulder_z,max_pelvis_x,max_pelvis_y,max_pelvis_z,max_rear_hip_x,max_rear_hip_y,max_rear_hip_z,max_rear_shoulder_x,max_rear_shoulder_y,max_rear_shoulder_z,max_torso_x,max_torso_y,max_torso_z,max_torso_pelvis_x,max_torso_pelvis_y,max_torso_pelvis_z,max_rfx,min_rfx,max_rfy,min_rfy,max_rfz,min_rfz,max_lfx,min_lfx,max_lfy,min_lfy,max_lfz,min_lfz,range_rfx,range_rfy,range_rfz,range_lfx,range_lfy,range_lfz,bat_speed_mph_max_x
23_1,504.94129999999996,432.9273,556.1641,798.1204,563.4973,1077.5587,285.0981,403.5448,801.6123,686.1460999999999,391.96479999999997,515.9655,666.9688,637.5056,1204.8507,217.30509999999998,179.8642,990.3064999999999,189.96620000000001,305.5997,260.4302,39.1688,288.4984,183.7832,401.8494,266.9723,214.8784,135.0464,720.27,78.4988,153.845,126.0107,461.0827,343.9763,249.6945,120.0107,119.9748,931.03,99.8973,197.9155,188.5462,147.1109,-122.0971,197.8216,-45.8575,759.8788,2.0625,70.7049,-332.6065,92.5767,-254.3311,1038.5805,-9.3852,269.20799999999997,243.6791,757.8163,403.3114,346.9078,1047.9657,58.7368
23_2,611.5414,501.4509,509.09259999999995,675.9827,543.9643,979.2199,232.4149,351.7009,807.1591000000001,632.6474000000001,269.0781,263.8802,677.1681000000001,421.0145,1098.9792,214.29170000000002,207.64409999999998,980.9442,197.28969999999998,314.4479,265.0955,49.7455,182.8808,199.0857,415.0302,217.537,148.8905,111.8489,709.2594,57.4559,94.5634,84.2879,355.3493,105.1567,237.9113,78.2288,148.815,917.9833,92.2778,234.6327,188.3608,125.4825,-103.7976,173.7834,-36.3237,788.4979,2.2238,33.8281,-277.8719,84.2634,-292.3793,1101.5218,-8.1899,229.2801,210.1071,786.2741,311.7,376.6427,1109.7117,60.8459
23_3,449.06780000000003,527.9531999999999,778.1252,905.34760000000006,526.6455,957.2497000000001,202.47570000000002,351.4671,800.1404,602.7869,366.2724,215.23059999999998,603.1545000000001,484.4435,1422.5771,173.75990000000002,239.53379999999999,994.5258,207.8219,276.0911,372.24249999999995,75.5897,211.414,207.186,395.6592,243.3622,121.4812,101.2215,686.2045,57.2483,119.8116,95.7029,383.8099,209.6068,304.8706,81.1455,152.8045,862.9818,134.5127,178.1415,265.489,263.1889,-120.195,196.0925,-65.2421,766.9956,25.9703,57.1387,-325.0289,120.4318,-247.1226,902.1404,-7.6157,383.3839,261.3346,741.0253,382.1676,367.5544,909.7561,59.8086
23_4,425.3642,524.3271,511.5732,471.6159,610.7216000000001,1145.6111999999998,239.7612,353.0767,815.6671,610.7351,411.3292,304.7807,1013.0745999999999,878.9341,9176.251,167.534,198.46050000000002,1023.9619,195.7134,320.52160000000003,325.6302,83.3599,273.6789,151.8032,451.5554,329.967,157.131,110.4184,721.0868,72.5167,175.3023,186.8658,488.5314,372.0098,5892.2271,65.5349,136.1168,896.8751,135.6328,219.02440000000001,239.4694,293.31,-96.8356,218.2672,-84.4914,863.5726,49.5398,141.0087,-319.6902,124.4915,-237.7492,900.2179,-13.4846,390.1456,302.7586,814.0328,460.6989,362.2407,913.7025,60.2192
23_5,427.54319999999996,480.71450000000004,386.4729,858.253,552.1986,933.8937999999999,197.0038,338.51,723.3354,679.7481,481.91639999999995,359.98040000000003,633.0821,459.3288,1445.5062,112.5304,173.2511,833.09759999999994,165.3049,305.3741,263.717,51.0255,198.3592,204.5846,347.7275,253.6522,104.2001,122.0328,615.3709,143.0018,197.6407,173.0513,460.6904,159.4608,339.893,55.9132,99.5521,756.342,120.3118,178.0892,185.8816,310.0845,-119.1399,220.1005,-85.572,841.8638,45.0229,97.5227,-310.6784,104.3313,-268.4103,830.4552,-8.838,429.2244,305.6725,796.8408999999999,408.2011,372.7416,839.2932,59.554
236_1,527.8165,572.1696999999999,453.8319,895.1800000000001,524.6965,1194.1818999999998,296.8899,317.67859999999996,822.8771,667.8523,453.2264,587.2925,373.7999,620.1145,1426.0295999999998,255.279,244.8405,994.9314999999999,278.0566,395.48900000000003,347.7288,75.8417,198.9756,210.2194,203.7877,126.0774,221.7589,101.0529,717.8142,79.0909,151.9545,350.0974,281.3195,189.4252,547.8248,131.7079,200.7918,937.9453,181.9298,302.2957,235.7537,184.2756,-120.2553,182.3942,-105.261,695.446,3.0375,62.7254,-337.9071,130.4082,-227.6999,1458.6601,-1.5323,304.5309,287.65520000000004,692.4085,400.6325,358.10810000000004,1460.1924000000001,65.0907
236_2,738.7438999999999,550.1061,519.4392,734.5852,577.7855999999999,1361.2685000000001,393.4878,318.9799,835.5147,726.2661,570.55,524.0163,388.3378,641.4647,958.1886999999999,299.067,233.80159999999998,1018.1001,368.5887,366.4317,460.0685,52.4721,233.3323,214.012,252.4993,124.9528,276.2738,127.1454,755.9031,32.9008,211.3458,284.351,309.3287,164.6324,479.0455,182.82,201.0827,962.2716,225.5833,285.0175,284.392,233.0418,-109.0146,226.3026,-80.0673,762.0279,-2.8818,70.6887,-483.3727,102.9238,-315.1311,1494.6364,-4.3229,342.0564,306.36990000000003,764.9097,554.0614,418.0549,1498.9593,64.2192
236_3,740.8301,468.356,425.3349,827.5594,543.2745,1199.4066,307.5242,298.6057,745.6017999999999,715.0219999999999,543.3808,499.7603,560.6671,592.2662,1150.1807000000001,210.775,274.1429,929.2182,265.5117,391.41560000000004,391.3609,60.8774,151.8055,160.9013,248.0232,95.2147,209.2075,116.115,676.3666,72.0843,197.342,323.8289,414.442,158.7577,336.4019,68.9119,219.8023,879.5864,167.953,289.4309,258.0349,198.4026,-106.729,227.7471,-109.388,734.8591,8.5753,69.116,-304.9771,64.4633,-282.6561,1156.6764,-5.1329,305.1316,337.13509999999997,726.2838,374.0931,347.1194,1161.8093000000001,66.3842
236_4,923.5464999999999,541.8036,684.6589,941.7509,619.9402,1435.0083,403.4466,375.4186,909.1957,817.832,610.0244,551.0986,630.9934,786.9542,1320.1145999999999,291.1902,270.5004,1078.4470000000001,420.082,496.4122,570.9674,57.6267,313.1804,320.6143,291.447,107.6304,269.8551,141.5732,816.8019,67.3584,223.3701,333.1769,406.7657,173.4928,313.4453,116.9795,233.3965,1027.0443,273.4486,383.0437,381.5965,208.0203,-136.8763,204.16,-85.9645,735.0747,19.747,76.1752,-461.4683,124.9726,-311.27,1547.3658,-3.9511,344.8966,290.1245,715.3277,537.6435,436.2426,1551.3169,69.1479
24_1,996.3711999999999,451.556,916.9861999999999,626.2318,831.7628,1615.2788999999998,536.2727,319.8269,735.3868,908.6353,426.9045,389.2096,803.008,756.3551,2147.4938,359.57579999999996,295.3351,1006.9920999999999,422.9492,357.435,579.978,73.9746,513.0192,183.0546,463.9451,1062.6786,375.2759,111.4373,664.5446,166.8406,180.4898,160.4228,503.4485,508.5078,1556.0654,205.8824,236.2759,941.3226,289.1819,233.3412,431.4299,436.3631,-120.5256,254.7061,-130.8976,1257.8085,90.8205,170.2975,-536.6863,133.3697,-228.9381,1678.85,-6.0733,556.8887,385.6037,1166.988,706.9838,362.3078,1684.9233,68.4138
